,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
PR - 11,0.3225,0.2743,0.606,0.6214,0.4346,0.7291,0.8298,0.3231,0.3215,0.6832,0.6131,0.672,0.7029,237.0,360.0,474.0,780.0,65.0,134.0,103.0,317.0,172.0,226.0,371.0,463.0,0.2364,0.292,0.2714,0.4407,0.8413
PR - 17,0.3479,0.3107,0.568,0.6036,0.4378,0.6917,0.7909,0.3522,0.3397,0.6601,0.5514,0.6376,0.7056,272.0,372.0,469.0,738.0,83.0,131.0,102.0,314.0,189.0,241.0,367.0,424.0,0.2852,0.3234,0.2937,0.4554,0.8518
PR + EOP - 3,0.6467,0.7057,0.1918,0.4931,0.5238,0.2137,0.265,0.6553,0.6294,0.3562,0.3292,0.3233,0.447,784.0,413.0,417.0,237.0,269.0,120.0,132.0,97.0,515.0,293.0,285.0,140.0,0.7014,0.7079,0.6489,0.6488,0.7684
PR + EOP - 11,0.6559,0.718,0.1731,0.5075,0.5401,0.2063,0.1963,0.6477,0.6721,0.3755,0.2943,0.3082,0.4076,811.0,403.0,431.0,206.0,307.0,109.0,128.0,75.0,504.0,294.0,303.0,131.0,0.7515,0.699,0.7027,0.655,0.7961
PR + EOP - 17,0.6337,0.6881,0.2077,0.4901,0.5064,0.2643,0.2519,0.6233,0.654,0.3979,0.2843,0.3432,0.4651,748.0,425.0,416.0,262.0,297.0,115.0,118.0,100.0,451.0,310.0,298.0,162.0,0.7315,0.6623,0.6587,0.6134,0.8015
PR + CEOP - 3,0.6688,0.7163,0.1952,0.3495,0.6508,0.2794,0.1749,0.6878,0.6311,0.2997,0.3519,0.3274,0.4211,774.0,464.0,366.0,247.0,302.0,88.0,164.0,64.0,472.0,376.0,202.0,183.0,0.726,0.7103,0.754,0.5466,0.8256
PR + CEOP - 11,0.6775,0.7235,0.1879,0.3786,0.5696,0.2709,0.1675,0.6769,0.6785,0.328,0.298,0.3168,0.3855,781.0,473.0,361.0,236.0,318.0,102.0,135.0,64.0,463.0,371.0,226.0,172.0,0.7617,0.6994,0.7318,0.5593,0.8408
PR + CEOP - 17,0.6505,0.697,0.2084,0.3964,0.6009,0.3083,0.194,0.6478,0.6556,0.3624,0.3043,0.3399,0.4529,744.0,460.0,381.0,266.0,320.0,93.0,140.0,77.0,424.0,367.0,241.0,189.0,0.7468,0.6635,0.7302,0.5446,0.8441
PR + ROC - 3,0.6542,0.6708,0.2687,0.3183,0.3452,0.3344,0.4098,0.6732,0.6165,0.2968,0.2871,0.3573,0.4762,652.0,559.0,271.0,369.0,216.0,165.0,87.0,150.0,436.0,394.0,184.0,219.0,0.6457,0.6839,0.4903,0.5028,0.8259
PR + ROC - 11,0.6677,0.6993,0.2271,0.3786,0.3671,0.2709,0.3403,0.6769,0.6494,0.328,0.2566,0.3168,0.4643,715.0,521.0,313.0,302.0,252.0,150.0,87.0,130.0,463.0,371.0,226.0,172.0,0.699,0.6994,0.5477,0.5593,0.8331
PR + ROC - 17,0.6537,0.6964,0.2133,0.4457,0.4077,0.2316,0.335,0.6618,0.6381,0.3652,0.2646,0.2965,0.4908,735.0,475.0,366.0,275.0,264.0,138.0,95.0,133.0,471.0,337.0,271.0,142.0,0.6984,0.6952,0.5698,0.6077,0.8533
EGR - 3,0.6618,0.7022,0.2169,0.4187,0.4008,0.2473,0.3306,0.6723,0.6408,0.3293,0.2919,0.3253,0.4449,738.0,487.0,343.0,283.0,245.0,151.0,101.0,121.0,493.0,336.0,242.0,162.0,0.6882,0.7094,0.5599,0.5961,0.8293
EGR - 11,0.6564,0.7064,0.1996,0.4673,0.443,0.2252,0.2853,0.6575,0.6543,0.3619,0.2778,0.3102,0.4523,765.0,450.0,384.0,252.0,273.0,132.0,105.0,109.0,492.0,318.0,279.0,143.0,0.7184,0.6999,0.6107,0.6258,0.8325
EGR - 17,0.6445,0.6893,0.2173,0.4474,0.4549,0.2561,0.3098,0.6486,0.6365,0.3736,0.2789,0.3185,0.492,730.0,463.0,378.0,280.0,274.0,127.0,106.0,123.0,456.0,336.0,272.0,157.0,0.7053,0.6801,0.6032,0.5962,0.8397
EGR + EOP - 3,0.651,0.6897,0.2301,0.4187,0.4008,0.2779,0.3306,0.6561,0.6408,0.3385,0.2919,0.3514,0.4449,718.0,487.0,343.0,303.0,245.0,151.0,101.0,121.0,473.0,336.0,242.0,182.0,0.6882,0.6905,0.5599,0.5799,0.8009
EGR + EOP - 11,0.6337,0.6796,0.2292,0.4606,0.443,0.2976,0.2853,0.6234,0.6543,0.3814,0.2778,0.3699,0.4523,719.0,454.0,380.0,298.0,273.0,132.0,105.0,109.0,446.0,322.0,275.0,189.0,0.7184,0.6578,0.6107,0.5852,0.7772
EGR + EOP - 17,0.6359,0.6784,0.2295,0.4424,0.4549,0.2871,0.3098,0.6355,0.6365,0.381,0.2789,0.3417,0.492,711.0,466.0,375.0,299.0,274.0,127.0,106.0,123.0,437.0,339.0,269.0,176.0,0.7053,0.6626,0.6032,0.5782,0.8012
